"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2021 JV)","2061-2061","1","4.2e-8","9.96","27.4","0.011","-8.47","-8.47","0","bK21J00V"
"(2021 RO16)","2095-2119","6","4.4e-8","7.58","26.6","0.016","-8.47","-8.71","0","bK21R16O"
"(2018 WS)","2106-2106","1","4.5e-8","3.30","26.4","0.018","-8.48","-8.48","0","bK18W00S"
"(2020 VB3)","2082-2120","14","1.4e-6","5.37","29.6","0.004","-8.49","-8.89","0","bK20V03B"
"(2018 GE)","2111-2111","2","1.6e-7","1.97","27.5","0.011","-8.50","-8.50","0","bK18G00E"
"(2015 HE183)","2086-2114","3","1.3e-7","13.58","28.2","0.008","-8.50","-8.51","0","bK15HI3E"
"(2019 YV4)","2044-2061","3","1.5e-8","20.14","27.3","0.012","-8.50","-8.54","0","bK19Y04V"
"(2023 XT)","2120-2120","1","4.7e-7","8.16","28.7","0.006","-8.50","-8.50","0","bK23X00T"
"(2023 FT3)","2104-2104","1","2.0e-8","8.62","26.1","0.021","-8.51","-8.51","0","bK23F03T"
"(2018 AT2)","2109-2115","2","1.5e-7","7.11","27.7","0.010","-8.53","-8.57","0","bK18A02T"
"(2018 XX3)","2088-2118","3","1.2e-6","4.41","29.7","0.004","-8.53","-8.65","0","bK18X03X"
"(2022 OC5)","2119-2122","3","7.1e-8","9.88","27.1","0.013","-8.53","-8.86","0","bK22O05C"
"(2019 UN8)","2093-2122","6","5.2e-7","19.32","29.7","0.004","-8.54","-8.94","0","bK19U08N"
"(1994 XM1)","2117-2117","1","1.9e-7","11.40","28.2","0.008","-8.54","-8.54","0","bJ94X01M"
"(2020 PW2)","2073-2100","10","2.5e-7","10.61","28.7","0.006","-8.56","-9.08","0","bK20P02W"
"(2022 RB2)","2068-2068","1","3.7e-8","12.89","27.5","0.011","-8.56","-8.56","0","bK22R02B"
"(2013 NJ4)","2114-2114","2","1.1e-7","5.61","27.4","0.011","-8.57","-8.75","0","bK13N04J"
"(2021 UA1)","2071-2122","19","6.7e-6","12.91","31.8","0.002","-8.57","-9.00","0","bK21U01A"
"(2017 UK52)","2031-2117","8","2.1e-8","11.43","27.0","0.014","-8.58","-8.85","0","bK17U52K"
"(2014 WX202)","2118-2119","2","1.5e-6","0.98","29.6","0.004","-8.58","-8.62","0","bK14WK2X"
"(2018 LS5)","2093-2104","2","3.2e-8","8.49","26.6","0.016","-8.58","-8.67","0","bK18L05S"
"(2020 YE4)","2107-2107","1","1.8e-8","10.87","26.2","0.020","-8.58","-8.58","0","bK20Y04E"
"(2013 EC20)","2068-2122","8","4.7e-7","2.68","29.0","0.005","-8.59","-8.95","0","bK13E20C"
"(2023 CY2)","2049-2049","1","3.6e-8","12.35","28.1","0.008","-8.59","-8.59","0","bK23C02Y"
"(2018 WG2)","2077-2118","10","1.6e-6","6.47","30.1","0.003","-8.60","-8.80","0","bK18W02G"
"(2022 ET)","2117-2117","1","2.0e-6","7.10","30.2","0.003","-8.60","-8.60","0","bK22E00T"
"(2016 VZ17)","2055-2111","10","4.8e-8","9.37","27.4","0.011","-8.60","-9.28","0","bK16V17Z"
"(2022 YK3)","2049-2049","2","1.2e-7","12.67","29.1","0.005","-8.61","-8.66","0","bK22Y03K"
"(2017 SA21)","2056-2081","3","8.1e-8","10.04","28.3","0.007","-8.62","-8.72","0","bK17S21A"
"(2019 JX1)","2100-2104","2","3.1e-7","14.36","29.1","0.005","-8.62","-8.74","0","bK19J01X"
"(2017 UQ7)","2122-2122","1","4.9e-9","14.05","25.2","0.031","-8.62","-8.62","0","bK17U07Q"
"(2019 DF)","2059-2119","9","4.3e-7","14.10","30.0","0.003","-8.62","-8.82","0","bK19D00F"
"(2021 RY4)","2110-2110","1","2.1e-7","9.41","28.4","0.007","-8.63","-8.63","0","bK21R04Y"
"(2019 JH7)","2114-2118","2","9.0e-7","9.06","29.6","0.004","-8.63","-8.92","0","bK19J07H"
"(2003 UM3)","2030-2057","3","3.9e-8","13.20","28.1","0.008","-8.63","-8.71","0","bK03U03M"
"(2017 FD3)","2044-2044","1","2.1e-8","11.36","27.8","0.009","-8.63","-8.63","0","bK17F03D"
"(2005 TK50)","2106-2106","1","1.6e-7","20.58","28.9","0.006","-8.64","-8.64","0","bK05T50K"
"(2021 RN10)","2121-2121","2","5.1e-8","16.46","27.5","0.011","-8.64","-8.83","0","bK21R10N"
"(2016 SX1)","2119-2119","1","3.7e-7","2.70","28.5","0.007","-8.64","-8.64","0","bK16S01X"
"(2019 UT5)","2056-2056","2","5.2e-8","14.42","28.4","0.007","-8.66","-8.88","0","bK19U05T"
"(2019 VS4)","2102-2105","2","6.2e-8","7.18","27.3","0.012","-8.66","-8.68","0","bK19V04S"
"(2023 SU4)","2079-2101","2","4.6e-8","10.55","27.3","0.012","-8.67","-8.71","0","bK23S04U"
"(2021 BV1)","2064-2064","1","2.5e-8","21.48","28.0","0.008","-8.68","-8.68","0","bK21B01V"
"(2008 GF1)","2080-2080","1","7.4e-8","14.61","28.3","0.007","-8.68","-8.68","0","bK08G01F"
"(2022 SJ9)","2070-2097","2","3.3e-8","9.63","27.3","0.012","-8.68","-8.78","0","bK22S09J"
"(2008 US)","2040-2044","2","5.7e-7","18.91","31.4","0.002","-8.70","-8.81","0","bK08U00S"
"(2018 CK)","2072-2073","2","7.7e-9","14.41","26.4","0.018","-8.70","-8.76","0","bK18C00K"
"(2008 JL24)","2091-2111","6","8.3e-7","2.73","29.6","0.004","-8.70","-9.06","0","bK08J24L"
"(2017 FS)","2119-2119","2","1.8e-7","19.71","29.0","0.005","-8.71","-8.73","0","bK17F00S"
"(2020 CW)","2046-2057","3","2.2e-6","20.08","32.5","0.001","-8.71","-8.81","0","bK20C00W"
"(2023 ET2)","2028-2087","7","1.0e-7","13.28","30.5","0.003","-8.71","-8.72","0","bK23E02T"
"(2020 HM7)","2088-2088","1","7.2e-9","10.63","25.9","0.023","-8.72","-8.72","0","bK20H07M"
"(2018 UL)","2097-2097","1","4.6e-7","5.47","29.2","0.005","-8.72","-8.72","0","bK18U00L"
"(2021 EN3)","2093-2093","1","4.1e-8","10.86","27.4","0.011","-8.72","-8.72","0","bK21E03N"
"(2023 CG4)","2099-2114","3","3.5e-7","11.31","29.2","0.005","-8.72","-8.97","0","bK23C04G"
"(2023 VV1)","2104-2117","2","4.3e-7","3.36","28.9","0.006","-8.73","-9.02","0","bK23V01V"
"(2011 CA7)","2062-2087","4","6.3e-7","8.92","30.3","0.003","-8.75","-8.98","0","bK11C07A"
"(2009 EJ1)","2042-2121","4","3.3e-8","10.80","28.3","0.008","-8.75","-8.78","0","bK09E01J"
"(2023 SO11)","2122-2122","1","4.3e-8","2.60","26.8","0.015","-8.75","-8.75","0","bK23S11O"
"(2022 EA7)","2114-2114","1","6.5e-8","7.98","27.5","0.011","-8.76","-8.76","0","bK22E07A"
"(2021 XW5)","2112-2119","2","5.3e-8","9.43","27.4","0.011","-8.76","-8.81","0","bK21X05W"
"(2017 FX158)","2118-2118","2","3.4e-7","8.35","29.0","0.005","-8.77","-8.90","0","bK17FF8X"
"(2015 ND3)","2120-2120","1","1.3e-8","8.12","26.0","0.021","-8.77","-8.77","0","bK15N03D"
"(2020 TG6)","2039-2039","1","3.1e-8","18.61","29.1","0.005","-8.77","-8.77","0","bK20T06G"
"(2002 EM7)","2117-2117","1","1.8e-9","10.28","24.4","0.045","-8.77","-8.77","0","bK02E07M"
"(2019 FT1)","2113-2113","1","2.9e-8","10.86","27.0","0.014","-8.78","-8.78","0","bK19F01T"
"(2012 XB112)","2118-2121","2","1.1e-6","4.12","29.8","0.004","-8.78","-8.89","0","bK12XB2B"
"(2022 BM3)","2097-2122","9","5.1e-7","7.41","29.4","0.004","-8.79","-9.30","0","bK22B03M"
"(2008 SH148)","2042-2097","4","4.7e-9","8.80","26.1","0.021","-8.80","-9.18","0","bK08SE8H"
"(2017 VC14)","2077-2111","2","1.1e-7","11.51","28.3","0.007","-8.81","-8.85","0","bK17V14C"
"(2022 UN8)","2104-2104","1","1.6e-8","11.29","26.6","0.016","-8.81","-8.81","0","bK22U08N"
"(2006 WV)","2078-2118","3","2.3e-8","14.62","27.1","0.013","-8.81","-8.91","0","bK06W00V"
"(2020 KU2)","2105-2105","1","4.9e-9","14.32","25.8","0.024","-8.82","-8.82","0","bK20K02U"
"(2021 AZ5)","2110-2110","1","9.8e-8","8.06","28.1","0.008","-8.84","-8.84","0","bK21A05Z"
"(2022 SZ9)","2090-2090","1","9.6e-8","7.73","28.3","0.007","-8.84","-8.84","0","bK22S09Z"
"(2023 QJ5)","2113-2113","1","2.7e-8","11.42","27.1","0.013","-8.84","-8.84","0","bK23Q05J"
"(2022 AV13)","2057-2118","22","4.9e-6","7.02","31.8","0.002","-8.85","-9.63","0","bK22A13V"
"(1993 KA2)","2060-2060","1","4.2e-8","23.20","29.0","0.005","-8.86","-8.86","0","bJ93K02A"
"(2019 QD)","2112-2112","1","1.2e-7","15.33","28.8","0.006","-8.87","-8.87","0","bK19Q00D"
"(2023 VN5)","2117-2117","1","5.1e-8","13.23","27.8","0.009","-8.87","-8.87","0","bK23V05N"
"(2021 UU)","2091-2119","2","1.4e-8","10.84","26.6","0.016","-8.88","-9.10","0","bK21U00U"
"(2024 FK)","2079-2079","1","1.4e-9","19.20","25.4","0.029","-8.88","-8.88","0","bK24F00K"
"(2023 AN6)","2093-2093","1","8.2e-7","13.40","30.6","0.003","-8.89","-8.89","0","bK23A06N"
"(2022 DX29)","2110-2118","2","9.7e-7","8.28","30.3","0.003","-8.90","-9.04","0","bK22D29X"
"(2014 UU56)","2088-2119","7","9.8e-8","8.17","28.3","0.007","-8.91","-9.32","0","bK14U56U"
"(2022 AO1)","2113-2114","2","2.9e-7","13.96","29.5","0.004","-8.91","-8.93","0","bK22A01O"
"(2020 SC)","2102-2102","1","6.3e-9","21.90","26.7","0.016","-8.92","-8.92","0","bK20S00C"
"(2022 WC11)","2110-2122","3","9.7e-8","7.96","28.1","0.008","-8.92","-9.10","0","bK22W11C"
"(2022 BD1)","2051-2051","1","2.8e-8","26.08","29.2","0.005","-8.93","-8.93","0","bK22B01D"
"(2021 RG6)","2121-2121","1","2.4e-7","6.76","28.9","0.006","-8.93","-8.93","0","bK21R06G"
"(2008 XK)","2050-2092","4","6.4e-9","17.20","27.2","0.013","-8.95","-9.11","0","bK08X00K"
"(2021 KQ2)","2102-2116","4","8.2e-7","2.33","29.9","0.004","-8.95","-9.07","0","bK21K02Q"
"(2018 GN)","2102-2102","1","3.8e-9","20.20","26.2","0.020","-8.96","-8.96","0","bK18G00N"
"(2010 CQ19)","2114-2114","1","1.8e-8","13.01","27.1","0.013","-8.96","-8.96","0","bK10C19Q"
"(2023 UL)","2095-2116","4","7.0e-8","8.36","28.1","0.008","-8.96","-9.26","0","bK23U00L"
"(2017 FX90)","2122-2122","2","7.0e-9","12.49","26.1","0.021","-8.96","-9.10","0","bK17F90X"
"(2012 GD)","2060-2118","6","1.7e-8","8.57","26.9","0.014","-8.97","-9.32","0","bK12G00D"
"(2021 BY1)","2051-2051","1","1.9e-8","20.77","28.7","0.006","-8.97","-8.97","0","bK21B01Y"
"(2008 OT7)","2110-2110","1","2.3e-8","9.50","27.1","0.013","-8.97","-8.97","0","bK08O07T"
"(2014 AK51)","2110-2110","1","1.3e-8","10.27","26.6","0.016","-8.97","-8.97","0","bK14A51K"
"(2023 HF3)","2057-2123","5","2.0e-7","10.97","29.1","0.005","-8.97","-9.36","0","bK23H03F"
"(2021 FF2)","2075-2108","3","6.2e-8","9.38","28.1","0.008","-8.98","-9.20","0","bK21F02F"
"(2008 BE15)","2102-2102","1","7.2e-10","18.05","24.7","0.040","-8.99","-8.99","0","bK08B15E"
"(2009 TB)","2070-2115","4","5.6e-8","15.11","28.9","0.006","-8.99","-9.03","0","bK09T00B"
"(2016 UR36)","2107-2118","2","2.3e-8","16.72","27.5","0.011","-8.99","-9.05","0","bK16U36R"
"(2021 GZ7)","2074-2101","2","1.0e-7","10.14","28.9","0.006","-9.01","-9.24","0","bK21G07Z"
"(2012 CS46)","2116-2116","1","5.1e-8","6.72","27.7","0.010","-9.01","-9.01","0","bK12C46S"
"(2016 JA)","2089-2089","1","2.9e-8","7.57","27.5","0.011","-9.01","-9.01","0","bK16J00A"
"(2021 WR4)","2064-2120","17","9.6e-7","4.31","30.4","0.003","-9.02","-9.45","0","bK21W04R"
"(2014 HJ198)","2106-2111","2","4.1e-9","22.51","26.5","0.017","-9.03","-9.06","0","bK14HJ8J"
"(2009 XR1)","2049-2116","18","1.3e-7","6.03","29.3","0.005","-9.03","-9.32","0","bK09X01R"
"(2021 PA1)","2113-2113","1","1.3e-8","15.77","27.1","0.013","-9.03","-9.03","0","bK21P01A"
"(2001 DZ76)","2079-2079","1","1.6e-9","12.36","25.4","0.028","-9.03","-9.03","0","bK01D76Z"
"(2014 RT17)","2120-2120","1","5.4e-10","19.79","24.4","0.044","-9.04","-9.04","0","bK14R17T"
"(2021 VM96)","2067-2091","2","1.8e-6","15.98","32.0","0.001","-9.04","-9.27","0","bK21V96M"
"(2008 CF22)","2094-2112","2","4.1e-9","11.83","26.0","0.021","-9.06","-9.34","0","bK08C22F"
"(2017 WW1)","2049-2055","4","8.9e-8","12.45","29.7","0.004","-9.06","-9.49","0","bK17W01W"
"(2019 TX)","2061-2101","5","5.8e-8","7.05","28.7","0.006","-9.06","-9.27","0","bK19T00X"
"(2023 TY10)","2064-2117","3","4.0e-8","15.41","28.6","0.006","-9.06","-9.17","0","bK23T10Y"
"(2020 YS2)","2092-2119","7","1.7e-6","2.63","31.0","0.002","-9.07","-9.27","0","bK20Y02S"
"(2017 UJ2)","2078-2120","16","1.3e-6","5.24","30.9","0.002","-9.08","-9.81","0","bK17U02J"
"(2020 SM2)","2080-2111","3","1.1e-7","4.18","28.7","0.006","-9.10","-9.49","0","bK20S02M"
"(2014 UZ175)","2081-2081","1","3.4e-8","6.17","27.9","0.009","-9.11","-9.11","0","bK14UH5Z"
"(2020 HE7)","2115-2122","2","1.6e-7","3.12","28.8","0.006","-9.11","-9.11","0","bK20H07E"
"(2005 CM7)","2090-2120","2","2.7e-9","18.35","26.2","0.020","-9.13","-9.29","0","bK05C07M"
"(2023 SR5)","2115-2115","1","9.0e-8","9.40","28.6","0.006","-9.14","-9.14","0","bK23S05R"
"(2014 DC)","2111-2111","1","1.1e-8","8.51","26.8","0.015","-9.15","-9.15","0","bK14D00C"
"(2021 GU12)","2096-2113","2","3.4e-8","8.92","27.9","0.009","-9.17","-9.25","0","bK21G12U"
"(2016 DB)","2057-2082","3","3.9e-8","9.08","28.5","0.007","-9.17","-9.31","0","bK16D00B"
"(2015 BP513)","2088-2088","1","8.4e-9","7.49","26.8","0.015","-9.17","-9.17","0","bK15Bp3P"
"(2020 SA2)","2117-2117","1","2.9e-8","15.63","28.1","0.008","-9.18","-9.18","0","bK20S02A"
"(2021 LL6)","2088-2088","1","7.6e-9","8.94","26.8","0.015","-9.19","-9.19","0","bK21L06L"
"(2015 CT13)","2122-2122","1","4.8e-9","6.48","25.9","0.022","-9.20","-9.20","0","bK15C13T"
"(2019 SU1)","2106-2119","2","7.8e-8","5.08","28.4","0.007","-9.20","-9.23","0","bK19S01U"
"(2022 BO1)","2122-2122","2","1.7e-8","13.25","27.4","0.011","-9.20","-9.32","0","bK22B01O"
"(2023 RP2)","2094-2094","1","1.2e-8","9.09","27.2","0.012","-9.20","-9.20","0","bK23R02P"
"(2023 QR)","2076-2076","1","4.1e-8","20.68","29.3","0.005","-9.20","-9.20","0","bK23Q00R"
"(2019 SU2)","2088-2099","4","2.5e-7","11.10","30.1","0.003","-9.21","-9.35","0","bK19S02U"
"(2024 EJ4)","2074-2100","8","1.5e-7","6.70","29.4","0.004","-9.22","-9.75","0","bK24E04J"
"(2021 VN3)","2069-2096","2","3.3e-7","9.06","30.6","0.003","-9.22","-9.22","0","bK21V03N"
"(2024 AS1)","2095-2095","1","7.1e-9","16.78","27.2","0.012","-9.22","-9.22","0","bK24A01S"
"(2021 VR1)","2117-2117","1","3.1e-7","3.42","29.6","0.004","-9.24","-9.24","0","bK21V01R"
"(2024 CW6)","2088-2088","1","2.2e-8","3.13","27.6","0.010","-9.26","-9.26","0","bK24C06W"
"(2023 ET1)","2109-2111","2","1.8e-7","8.77","29.6","0.004","-9.27","-9.28","0","bK23E01T"
"(2023 RF156)","2073-2073","1","1.1e-7","8.05","29.6","0.004","-9.29","-9.29","0","bK23RF6F"
"(2021 HY2)","2051-2104","10","4.2e-8","7.68","28.9","0.006","-9.30","-9.81","0","bK21H02Y"
"(2019 UX12)","2108-2121","2","6.1e-8","9.61","28.7","0.006","-9.31","-9.32","0","bK19U12X"
"(2019 BB5)","2109-2119","2","7.6e-9","7.23","26.7","0.016","-9.31","-9.41","0","bK19B05B"
"(2020 VT3)","2100-2100","2","6.8e-8","8.96","28.9","0.006","-9.31","-9.38","0","bK20V03T"
"(2019 TA)","2116-2121","2","1.9e-7","6.05","29.5","0.004","-9.32","-9.61","0","bK19T00A"
"(2019 CY1)","2060-2060","1","6.4e-10","13.35","25.7","0.025","-9.33","-9.33","0","bK19C01Y"
"(2002 CA26)","2120-2120","1","2.4e-9","11.85","25.9","0.022","-9.34","-9.34","0","bK02C26A"
"(2012 FN35)","2108-2108","1","8.5e-10","8.48","24.9","0.036","-9.35","-9.35","0","bK12F35N"
"(2013 AC4)","2085-2085","1","9.7e-10","19.70","26.0","0.022","-9.35","-9.35","0","bK13A04C"
"(2023 LC)","2099-2099","1","6.0e-8","3.99","28.6","0.006","-9.37","-9.37","0","bK23L00C"
"(2017 MA3)","2110-2110","1","6.0e-9","9.02","26.7","0.015","-9.38","-9.38","0","bK17M03A"
"(2019 HN4)","2099-2099","1","4.7e-8","5.57","28.5","0.007","-9.39","-9.39","0","bK19H04N"
"(2019 SQ1)","2090-2090","1","1.4e-8","6.00","27.6","0.010","-9.41","-9.41","0","bK19S01Q"
"(2019 VC)","2117-2120","2","8.3e-8","3.81","28.8","0.006","-9.42","-9.51","0","bK19V00C"
"(2012 VQ6)","2102-2102","1","5.1e-9","12.92","27.0","0.013","-9.43","-9.43","0","bK12V06Q"
"(2005 WY)","2060-2107","2","4.1e-9","8.14","27.1","0.013","-9.44","-9.48","0","bK05W00Y"
"(2006 EH1)","2112-2112","1","2.9e-9","13.27","26.5","0.017","-9.47","-9.47","0","bK06E01H"
"(2023 GP3)","2106-2118","2","4.0e-8","7.96","28.6","0.006","-9.48","-9.75","0","bK23G03P"
"(2014 XE32)","2083-2083","1","1.7e-9","13.53","26.4","0.018","-9.49","-9.49","0","bK14X32E"
"(2021 AC4)","2120-2120","1","6.1e-8","7.16","28.8","0.006","-9.49","-9.49","0","bK21A04C"
"(2022 QE2)","2079-2122","5","6.5e-8","5.88","29.0","0.005","-9.49","-9.98","0","bK22Q02E"
"(2017 YC6)","2072-2072","1","6.4e-10","15.21","25.9","0.023","-9.50","-9.50","0","bK17Y06C"
"(2017 KJ32)","2073-2105","5","5.5e-8","2.47","28.9","0.006","-9.51","-9.96","0","bK17K32J"
"(2016 CO248)","2086-2086","1","9.5e-9","5.07","27.5","0.011","-9.52","-9.52","0","bK16CO8O"
"(2012 SW2)","2117-2117","1","5.9e-9","16.57","27.4","0.011","-9.54","-9.54","0","bK12S02W"
"(2018 BQ6)","2078-2081","2","5.1e-9","10.05","27.4","0.011","-9.54","-9.59","0","bK18B06Q"
"(2021 BR2)","2103-2122","5","4.3e-7","7.38","30.8","0.002","-9.54","-9.94","0","bK21B02R"
"(2019 YA3)","2070-2070","1","1.7e-9","8.24","26.5","0.017","-9.56","-9.56","0","bK19Y03A"
"(2021 VD8)","2084-2096","2","1.1e-7","11.65","30.3","0.003","-9.59","-9.64","0","bK21V08D"
"(2023 RM16)","2056-2056","1","1.5e-8","8.49","28.9","0.006","-9.60","-9.60","0","bK23R16M"
"(2017 GM)","2080-2121","2","5.3e-8","16.19","29.9","0.004","-9.65","-9.83","0","bK17G00M"
"(2020 XX3)","2086-2094","2","2.4e-8","4.60","28.5","0.007","-9.65","-9.65","0","bK20X03X"
"(2022 DH)","2094-2094","1","7.6e-9","6.96","27.6","0.010","-9.67","-9.67","0","bK22D00H"
"(2023 XB4)","2111-2111","1","1.4e-8","9.93","28.2","0.008","-9.70","-9.70","0","bK23X04B"
"(2019 XR)","2053-2053","1","4.5e-9","8.10","28.1","0.008","-9.71","-9.71","0","bK19X00R"
"(2007 EK)","2093-2093","1","3.8e-8","8.33","29.3","0.005","-9.72","-9.72","0","bK07E00K"
"(2011 EU20)","2088-2088","1","3.7e-9","9.13","27.3","0.012","-9.74","-9.74","0","bK11E20U"
"(2014 EC)","2119-2119","1","9.3e-9","15.77","28.2","0.008","-9.75","-9.75","0","bK14E00C"
"(2019 UN13)","2107-2111","4","8.9e-7","10.18","32.1","0.001","-9.77","-10.23","0","bK19U13N"
"(2021 AS2)","2063-2063","1","8.2e-9","24.55","29.4","0.004","-9.77","-9.77","0","bK21A02S"
"(2019 HR2)","2049-2118","8","2.7e-8","8.39","28.9","0.005","-9.77","-10.22","0","bK19H02R"
"(2016 NC56)","2115-2115","1","2.7e-9","14.36","27.1","0.013","-9.77","-9.77","0","bK16N56C"
"(2022 EE5)","2113-2115","3","1.5e-7","3.37","30.1","0.003","-9.78","-9.95","0","bK22E05E"
"(2016 WW2)","2107-2107","2","2.4e-8","10.02","29.0","0.005","-9.84","-9.92","0","bK16W02W"
"(2011 SC108)","2111-2111","1","2.9e-9","22.29","27.9","0.009","-9.86","-9.86","0","bK11SA8C"
"(2021 CP7)","2108-2108","1","5.4e-9","9.88","27.7","0.010","-9.87","-9.87","0","bK21C07P"
"(2021 CY)","2100-2100","1","4.4e-9","10.98","27.7","0.010","-9.87","-9.87","0","bK21C00Y"
"(2023 XH7)","2088-2088","1","1.8e-9","19.97","27.6","0.010","-9.88","-9.88","0","bK23X07H"
"(2021 VO8)","2114-2114","1","3.1e-9","7.11","27.0","0.013","-9.90","-9.90","0","bK21V08O"
"(2019 YE)","2112-2112","1","1.4e-9","12.21","26.7","0.016","-9.91","-9.91","0","bK19Y00E"
"(2004 OD4)","2093-2093","1","1.8e-9","8.51","26.9","0.014","-9.92","-9.92","0","bK04O04D"
"(2020 DF2)","2117-2117","1","6.9e-10","15.11","26.2","0.019","-9.92","-9.92","0","bK20D02F"
"(2022 UA6)","2090-2096","2","4.8e-9","11.80","28.0","0.008","-9.93","-10.16","0","bK22U06A"
"(2024 BS1)","2114-2114","1","1.9e-9","16.26","27.3","0.012","-9.95","-9.95","0","bK24B01S"
"(2022 GQ)","2112-2122","3","1.1e-7","5.82","30.4","0.003","-9.96","-10.06","0","bK22G00Q"
"(2020 TW)","2101-2101","1","4.5e-9","5.26","27.6","0.010","-9.96","-9.96","0","bK20T00W"
"(2016 GW220)","2076-2076","1","5.9e-10","13.32","26.6","0.016","-9.97","-9.97","0","bK16GM0W"
"(2022 QF265)","2085-2085","1","3.3e-8","11.46","30.0","0.003","-9.98","-9.98","0","bK22QQ5F"
"(2022 UL147)","2069-2069","1","3.7e-8","13.34","30.5","0.003","-9.98","-9.98","0","bK22UE7L"
"(2023 SP6)","2113-2113","1","3.2e-9","16.97","28.0","0.009","-10.03","-10.03","0","bK23S06P"
"(2017 WE30)","2038-2100","9","4.8e-8","17.56","31.8","0.001","-10.05","-10.13","0","bK17W30E"
"(2017 CY32)","2090-2110","4","4.4e-9","18.08","28.5","0.007","-10.09","-10.19","0","bK17C32Y"
"(2024 FD1)","2107-2123","3","3.1e-8","4.80","29.4","0.004","-10.09","-10.32","0","bK24F01D"
"(2019 YS)","2101-2116","5","2.7e-7","6.26","31.5","0.002","-10.10","-10.48","0","bK19Y00S"
"(2022 BA7)","2117-2119","2","1.2e-7","9.27","30.9","0.002","-10.10","-10.25","0","bK22B07A"
"(2024 ET3)","2121-2124","2","8.2e-9","7.88","28.4","0.007","-10.12","-10.29","0","bK24E03T"
"(2016 JS5)","2121-2121","1","4.5e-8","16.71","30.6","0.003","-10.19","-10.19","0","bK16J05S"
"(2023 LE2)","2067-2116","2","3.8e-8","6.44","30.1","0.003","-10.21","-10.37","0","bK23L02E"
"(2007 VF189)","2098-2098","1","3.7e-9","11.51","28.3","0.007","-10.23","-10.23","0","bK07VI9F"
"(2019 TF1)","2081-2081","1","1.2e-9","8.84","27.4","0.011","-10.23","-10.23","0","bK19T01F"
"(2019 ES2)","2105-2105","1","2.8e-10","5.96","25.8","0.023","-10.33","-10.33","0","bK19E02S"
"(2024 CL5)","2103-2103","1","2.0e-10","14.24","26.1","0.020","-10.36","-10.36","0","bK24C05L"
"(2023 UB)","2097-2097","1","1.2e-8","15.14","30.0","0.003","-10.42","-10.42","0","bK23U00B"
"(2003 SQ222)","2101-2101","1","1.1e-8","15.06","30.0","0.003","-10.45","-10.45","0","bK03SM2Q"
"(2022 UY123)","2086-2086","1","2.2e-8","8.59","30.5","0.003","-10.52","-10.52","0","bK22UC3Y"
"(2023 SN1)","2118-2118","1","4.6e-9","16.19","29.3","0.005","-10.54","-10.54","0","bK23S01N"
"(2021 LF6)","2115-2115","1","4.6e-9","1.48","28.5","0.007","-10.55","-10.55","0","bK21L06F"
"(2016 VH)","2115-2115","1","5.6e-10","4.79","26.8","0.015","-10.56","-10.56","0","bK16V00H"
"(2019 AS5)","2094-2121","2","1.8e-7","10.19","32.3","0.001","-10.57","-10.78","0","bK19A05S"
"(2009 EH1)","2068-2068","1","5.9e-10","10.69","27.9","0.009","-10.58","-10.58","0","bK09E01H"
"(2011 DE5)","2115-2115","1","1.9e-10","15.06","26.4","0.017","-10.59","-10.59","0","bK11D05E"
"(2012 XL134)","2089-2089","1","9.0e-10","8.66","27.8","0.009","-10.63","-10.63","0","bK12XD4L"
"(2021 XE)","2077-2081","2","2.9e-9","2.78","28.8","0.006","-10.64","-10.92","0","bK21X00E"
"(2021 TK11)","2073-2073","1","1.1e-9","10.22","28.7","0.006","-10.79","-10.79","0","bK21T11K"
"(2019 RQ)","2045-2045","1","3.1e-9","12.68","30.6","0.003","-10.81","-10.81","0","bK19R00Q"
"(2012 BV1)","2057-2057","1","7.4e-9","8.44","31.0","0.002","-10.93","-10.93","0","bK12B01V"
"(2017 EJ1)","2120-2120","1","4.0e-10","9.50","27.7","0.010","-11.06","-11.06","0","bK17E01J"
"(2012 AQ)","2098-2098","1","1.2e-8","2.71","30.7","0.003","-11.07","-11.07","0","bK12A00Q"
"(2017 RW17)","2081-2081","1","1.7e-9","13.79","29.8","0.004","-11.09","-11.09","0","bK17R17W"
"(2017 UK1)","2092-2092","1","1.4e-10","7.57","27.0","0.013","-11.11","-11.11","0","bK17U01K"
"(2018 YO2)","2115-2115","1","5.8e-9","3.76","30.0","0.003","-11.12","-11.12","0","bK18Y02O"
"(2013 UJ5)","2092-2092","1","2.5e-10","10.85","28.0","0.009","-11.22","-11.22","0","bK13U05J"
"(2021 TH15)","2069-2069","1","3.0e-10","12.24","28.9","0.006","-11.33","-11.33","0","bK21T15H"
"(2021 UH1)","2083-2083","1","4.3e-9","5.17","31.6","0.002","-11.82","-11.82","0","bK21U01H"
"(2012 KT42)","2109-2109","1","1.3e-10","15.91","28.8","0.006","-11.83","-11.83","0","bK12K42T"
"(2022 UU123)","2119-2119","1","8.0e-10","8.65","30.6","0.003","-12.15","-12.15","0","bK22UC3U"
